SpeSpecimenNo,SpeSpecimenNoText,RLBCataloguedByRef.NamFirst,RLBCataloguedByRef.NamLast,RLBDateCatalogued,Column,Column2,IdeTaxonRef_tab(1).ClaGenus,IdeTaxonRef_tab(1).ClaSpecies,Column3,Column4,SitSiteRef_tab(1).RLBDepositNo,RLBRemarks,SitSiteRef_tab(1).RLBCoordinates_tab(1),RLBGHancockCollGrid2,SitSiteRef_tab(1).RLBDepth1,RLBGHancockCollDepth2,RLBRemarks2,RLBGCollectedByInitials,RLBGCollectedByName,IdeIdentifiedByParty_tab(1),IdeDateIdentified0,RLBGroup,RLBElementPart,SpeSide,RLBElementNo,RLBElement,RLBSubElement,RLBEleRemarks,RLBOntogeneticAge,SpePublicationRemarks,RLBDateCollected,Column5,IdeTaxonRef_tab(1).SecDepartment_tab(1),IdeFiledAs_tab(1),SitSiteRef_tab(1).RLBCollection,ColDivision,ColDepartment
Project Acronym,Catalog number,Cataloger First Name,Cataloger Last Name,Date cataloged,higher taxonomic designation,IRN taxonmy,Scientific Name Genus,Scientific Name Species,taxonomy questions,Sites IRN,Pit No.,General locality,Grid No. (1),Grid No. (2),Depth 1,Depth 2,Locality Remarks,Collector initials,Collector name,Identified by,Identified date,Element Group,Element part,Element side,Element No.,Element,Sub-Element,Element remarks,Ontogenetic age,"General publication remarks; author, date, journal title, volume",Date collected (true value),Additional notes that do not fit in other fields,Department (always Rancho La Brea),Filed as (always yes),Collection,Division,Department
HC,16549.0,Mary ,Romig,1984-11-14T00:00:00Z,,4150.0,Smilodon,fatalis,,,1.0,,D-13,,14.0,,,MFP,Museum Field Party,,,forelimb,,lt,2nd,carpal phalanx,digit IV,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10766.0,Mary ,Romig,1984-02-22T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,,rt,,humerus,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10892.0,Mary ,Romig,1984-03-12T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,dist,rt,,radius,,frag;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11075.0,Mary ,Romig,1984-03-22T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,dist epiph of,lt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11076.0,Mary ,Romig,1984-03-22T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,prox,lt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13778.0,Mary ,Romig,1984-08-24T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,hindlimb,dist,rt,,tibia,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15080.0,Mary ,Romig,1984-10-17T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,hindlimb,,rt,V,metatarsal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17108.0,Mary ,Romig,1984-11-28T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,xiphisternum,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17642.0,Mary ,Romig,1984-12-19T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,cranial,,,,stylohyal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18431.0,Mary ,Romig,1985-01-15T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,VII,cervical vertebra,,w broken processes;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19320.0,Mary ,Romig,1985-02-12T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,I,cervical vertebra,,w broken neural spine,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19334.0,Mary ,Romig,1985-02-13T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,I,thoracic vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19399.0,Mary ,Romig,1985-02-15T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,V,cervical vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19650.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,w broken processes,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19651.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,w broken processes,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19652.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19653.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,w broken proccesses,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19654.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19655.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,w broken proccesses,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19838.0,Mary ,Romig,1985-03-13T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,XII,thoracic vertebra,,w broken processes,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19954.0,Mary ,Romig,1985-03-15T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,XIII,thoracic vertebra,,w broken processes,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17019.0,Mary ,Romig,1984-11-27T00:00:00Z,,4182.0,Panthera,atrox,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,tooth,,rt,,/p4,,w broken roots;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11992.0,Mary ,Romig,1984-05-10T00:00:00Z,,4109.0,Paramylodon,harlani,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,hindlimb,,rt,V,metatarsal,,w/o anterior end;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12054.0,Mary ,Romig,1984-05-17T00:00:00Z,,4109.0,Paramylodon,harlani,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,hindlimb,prox epiph of,rt,,tibia,,same indiv as 1702-R-36;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17533.0,Mary ,Romig,1984-12-11T00:00:00Z,,4111.0,Equus,occidentalis,,2416.0,1.0,,,,15.0,,,MFP,Museum Field Party,,,cranial,,rt,,maxilla,,frag; w DP2-3/,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12224.0,Mary ,Romig,1984-06-08T00:00:00Z,,4150.0,Smilodon,fatalis,,392.0,1.0,General locality,,,,,,MFP,Museum Field Party,,,axial,,,VII,lumbar vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14792.0,Mary ,Romig,1984-10-15T00:00:00Z,,4101.0,Canis,dirus,,2436.0,2.0,,S-10,,10.0,,,MFP,Museum Field Party,,,hindlimb,,lt,III,metatarsal,,w broken prox end;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13085.0,Mary ,Romig,1984-07-27T00:00:00Z,,4101.0,Canis,dirus,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,axial,dist,lt,,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13529.0,Mary ,Romig,1984-08-16T00:00:00Z,,4101.0,Canis,dirus,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,forelimb,,lt,V,metacarpal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16732.0,Mary ,Romig,1984-11-16T00:00:00Z,,4101.0,Canis,dirus,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,axial,post,,,xiphisternum,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17967.0,Mary ,Romig,1985-01-02T00:00:00Z,,4101.0,Canis,dirus,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,appendicular,dist epiph of,,,metapodial,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17982.0,Mary ,Romig,1985-01-02T00:00:00Z,,4101.0,Canis,dirus,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,appendicular,dist,,,metapodial,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18128.0,Mary ,Romig,1985-01-07T00:00:00Z,,4101.0,Canis,dirus,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,appendicular,dist,,,metapodial,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13802.0,Mary ,Romig,1984-08-27T00:00:00Z,,4150.0,Smilodon,fatalis,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,axial,prox,lt,XII,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11508.0,Mary ,Romig,1984-04-06T00:00:00Z,,4166.0,Taxidea,taxus,,414.0,2.0,,S-20,,10.0,,,MFP,Museum Field Party,,,cranial,,rt,,dentary,,edentulous,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18548.0,Mary ,Romig,1985-01-18T00:00:00Z,,4111.0,Equus,occidentalis,,26255.0,2.0,,S-20,,,,,MFP,Museum Field Party,,,tooth,,rt,,DI1/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13832.0,Mary ,Romig,1984-08-27T00:00:00Z,,4182.0,Panthera,atrox,,26255.0,2.0,,S-20,,,,,MFP,Museum Field Party,,,axial,,lt,I,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12124.0,Mary ,Romig,1984-05-30T00:00:00Z,,4101.0,Canis,dirus,,415.0,2.0,,S-21,,9.5,,,MFP,Museum Field Party,,,hindlimb,,lt,,ischium,,frag;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15297.0,Mary ,Romig,1984-10-22T00:00:00Z,,4182.0,Panthera,atrox,,415.0,2.0,,S-21,,9.5,,,MFP,Museum Field Party,,,hindlimb,,lt,,patella,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16089.0,Mary ,Romig,1984-11-07T00:00:00Z,,4182.0,Panthera,atrox,,415.0,2.0,,S-21,,9.5,,,MFP,Museum Field Party,,,forelimb,,rt,1st,carpal phalanx,digit III,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13415.0,Mary ,Romig,1984-08-15T00:00:00Z,,4101.0,Canis,dirus,,419.0,2.0,,T-22,,7.0,8.0,,MFP,Museum Field Party,,,forelimb,,lt,II,metacarpal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15051.0,Mary ,Romig,1984-10-17T00:00:00Z,,4101.0,Canis,dirus,,419.0,2.0,,T-22,,7.0,9.0,,MFP,Museum Field Party,,,hindlimb,,lt,V,metatarsal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17470.0,Mary ,Romig,1984-12-06T00:00:00Z,,4101.0,Canis,dirus,,419.0,2.0,,T-22,,7.0,8.0,,MFP,Museum Field Party,,,hindlimb,dist,lt,,fibula,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18432.0,Mary ,Romig,1985-01-15T00:00:00Z,,4101.0,Canis,dirus,,419.0,2.0,,T-22,,7.0,9.0,,MFP,Museum Field Party,,,axial,,,VII,cervical vertebra,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19932.0,Mary ,Romig,1985-03-15T00:00:00Z,,4101.0,Canis,dirus,,419.0,2.0,,T-22,,7.0,9.0,,MFP,Museum Field Party,,,axial,,,XI,thoracic vertebra,,w broken lt postzyg,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14447.0,Mary ,Romig,1984-10-04T00:00:00Z,,4101.0,Canis ,dirus,,419.0,2.0,,T-22,,7.0,8.0,,MFP,Museum Field Party,,,hindlimb,,lt,,astragalus,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,16091.0,Mary ,Romig,1984-11-07T00:00:00Z,,4182.0,Panthera,atrox,,419.0,2.0,,T-22,,7.0,8.0,,MFP,Museum Field Party,,,hindlimb,,rt,1st,tarsal phalanx,digit II,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17586.0,Mary ,Romig,1984-12-14T00:00:00Z,,4182.0,Panthera,atrox,,419.0,2.0,,T-22,,7.0,9.0,,MFP,Museum Field Party,,,axial,ant,,,caudal vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10950.0,Mary ,Romig,1984-03-14T00:00:00Z,,4150.0,Smilodon,fatalis,,419.0,2.0,,T-22,,7.0,8.0,,MFP,Museum Field Party,,,axial,,,I,lumbar vertebra,,w broken lt anapoph; path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11397.0,Mary ,Romig,1984-04-02T00:00:00Z,,4150.0,Smilodon,fatalis,,419.0,2.0,,T-22,,7.0,8.0,,MFP,Museum Field Party,,,axial,,,V,lumbar vertebra,,w broken processes; path,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17179.0,Mary ,Romig,1984-12-03T00:00:00Z,,4101.0,Canis,dirus,,421.0,2.0,,T-22,,8.0,9.0,,MFP,Museum Field Party,,,appendicular,,,2nd,phalanx,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17534.0,Mary ,Romig,1984-12-11T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,,lt,,nasal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17536.0,Mary ,Romig,1984-12-11T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,dorsal,lt,,skull,,frag; in 2 pieces;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17537.0,Mary ,Romig,1984-12-11T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,,lt,,maxilla,,w palatine; w M2/;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17538.0,Mary ,Romig,1984-12-11T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,,lt,,maxilla,,"w DP2,3,4/",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19185.0,Mary ,Romig,1985-02-05T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,tooth,,lt,,M3/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19186.0,Mary ,Romig,1985-02-05T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,tooth,,lt,,M3/,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19271.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,,lt,,dentary,,"frag; w /p4; /m1,2;",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19272.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,," and 2, T-22, 9'",MFP,Museum Field Party,,,cranial,,,,mandible,,"w lt /dc; /i1,2; unerupted /i3; /p2,3; rt /i1; /p2-4; in three pieces;",,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19273.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,post,rt,,dentary,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19274.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,post,rt,,dentary,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19276.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,tooth,,lt,,"/m1,2",,prob same indiv as LACMHC 19275 and LACMHC 19277;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19278.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,cranial,post,lt,,dentary,,frag;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14559.0,Mary ,Romig,1984-10-10T00:00:00Z,,4182.0,Panthera,atrox,,421.0,2.0,,T-22,,8.0,,,MFP,Museum Field Party,,,forelimb,,rt,,scapula,,w/o vertebral border;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10822.0,Mary ,Romig,1984-03-09T00:00:00Z,,4150.0,Smilodon,fatalis,,421.0,2.0,,T-22,,8.0,9.0,,MFP,Museum Field Party,,,forelimb,,lt,,scapula,,path,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10769.0,Mary ,Romig,1984-02-22T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,forelimb,diaph of,rt,,humerus,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11044.0,Mary ,Romig,1984-03-21T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,forelimb,,lt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,12123.0,Mary ,Romig,1984-05-30T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,hindlimb,,lt,,ilium,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13182.0,Mary ,Romig,1984-08-06T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,hindlimb,,rt,,ectocuneiform,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13413.0,Mary ,Romig,1984-08-15T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,forelimb,,lt,II,metacarpal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13557.0,Mary ,Romig,1984-08-16T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,forelimb,,rt,V,metacarpal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13758.0,Mary ,Romig,1984-08-24T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,hindlimb,,rt,,tibia,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13760.0,Mary ,Romig,1984-08-24T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,hindlimb,diaph of,rt,,tibia,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14977.0,Mary ,Romig,1984-10-17T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,hindlimb,,lt,IV,metatarsal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19641.0,Mary ,Romig,1985-02-28T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19642.0,Mary ,Romig,1985-02-28T00:00:00Z,,4101.0,Canis,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,w broken processes,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14440.0,Mary ,Romig,1984-10-04T00:00:00Z,,4101.0,Canis ,dirus,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,hindlimb,,lt,III,metatarsal,,10.4,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17535.0,Mary ,Romig,1984-12-11T00:00:00Z,,4111.0,Equus,occidentalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,cranial,,lt,,frontal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19275.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,tooth,,lt,,/p4,,unerupted; prob same indiv as LACMHC 19276 and LACMHC 19277;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19277.0,Mary ,Romig,1985-02-07T00:00:00Z,,4111.0,Equus,occidentalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,tooth,,rt,,"/m1,2",,prob same indiv as LACMHC 19275 and LACMHC 19276;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11395.0,Mary ,Romig,1984-04-02T00:00:00Z,,4150.0,Smilodon,fatalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,,,IV,lumbar vertebra,,path; same ind. as LACHMC 11420,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11420.0,Mary ,Romig,1984-04-03T00:00:00Z,,4150.0,Smilodon,fatalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,,,III,lumbar vertebra,,broken rt anapoph; path; same ind as LACMHC 11395;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13037.0,Mary ,Romig,1984-07-27T00:00:00Z,,4150.0,Smilodon,fatalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,prox,lt,XII,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13043.0,Mary ,Romig,1984-07-27T00:00:00Z,,4150.0,Smilodon,fatalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,prox,lt,XII,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13612.0,Mary ,Romig,1984-08-20T00:00:00Z,,4150.0,Smilodon,fatalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,prox,lt,X,rib,,path; ,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13789.0,Mary ,Romig,1984-08-27T00:00:00Z,,4150.0,Smilodon,fatalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,,rt,V,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14255.0,Mary ,Romig,1984-09-11T00:00:00Z,,4150.0,Smilodon,fatalis,,423.0,2.0,,T-22,,9.0,,,MFP,Museum Field Party,,,axial,,lt,VI,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11276.0,Mary ,Romig,1984-03-28T00:00:00Z,,4150.0,Smilodon,fatalis,,422.0,2.0,,T-22,,9.5,,,MFP,Museum Field Party,,,axial,,,II,lumbar vertebra,,w broken processes;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13302.0,Mary ,Romig,1984-08-13T00:00:00Z,,4150.0,Smilodon,fatalis,,422.0,2.0,,T-22,,9.5,,,MFP,Museum Field Party,,,axial,,rt,X,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13603.0,Mary ,Romig,1984-08-20T00:00:00Z,,4150.0,Smilodon,fatalis,,422.0,2.0,,T-22,,9.5,,,MFP,Museum Field Party,,,axial,prox,lt,X,rib,,path; ,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13622.0,Mary ,Romig,1984-08-20T00:00:00Z,,4150.0,Smilodon,fatalis,,422.0,2.0,,T-22,,9.5,,,MFP,Museum Field Party,,,axial,prox,lt,IX,rib,,path; ,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,14223.0,Mary ,Romig,1984-09-11T00:00:00Z,,4101.0,Canis,dirus,,2435.0,2.0,,,,9.0,,,MFP,Museum Field Party,,,axial,,rt,IV,rib,,path;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
